Country,Year,Latitude,Longitude,Death_Category
Peru,19,-12.27,-77.79,51-100 Deaths
Turkey,19,39.1,42.5,>1001 Deaths
Taiwan,18,24.5,120.7,1-50 Deaths
Chile,19,-32.5,-71.2,51-100 Deaths
Taiwan,18,24.1,120.5,101-1000 Deaths
China,18,39.1,121.6,1-50 Deaths
Colombia,19,2.9,-74.9,51-100 Deaths
Peru,18,-16.107,-72.967,101-1000 Deaths
Taiwan,18,25,121.5,1-50 Deaths
Indonesia,19,-9.2,113.1,51-100 Deaths
China,18,37.5,105.2,101-1000 Deaths
China,19,39.88,76.2,>1001 Deaths
China,19,24.4,102.5,1-50 Deaths
Taiwan,18,25.2,121.2,101-1000 Deaths
Iran,18,37.2,58.4,>1001 Deaths
Indonesia,19,0.5,126.0,1-50 Deaths
Israel,18,33.0,35.5,>1001 Deaths
China,19,26.6,103.0,1-50 Deaths
Turkey,19,39.12,44.03,>1001 Deaths
China,19,24.4,102.5,1-50 Deaths
China,19,24.57,98.953,51-100 Deaths
China,19,24.531,98.71,51-100 Deaths
India,18,26.0,91.0,>1001 Deaths
China,19,39.664,118.401,51-100 Deaths
Greece,18,38.25,26.25,51-100 Deaths
China,18,23.7,102.5,101-1000 Deaths
Algeria,19,36.195,1.354,>1001 Deaths
Peru,19,-13.1,-76.2,1-50 Deaths
Argentina,19,-31.03,-67.77,51-100 Deaths
China,19,26.7,102.9,1-50 Deaths
Greece,18,41.2,24.5,51-100 Deaths
China,18,28.6,87.1,101-1000 Deaths
Turkey,19,39.7,40.4,1-50 Deaths
Cuba,18,22.4,-83.0,51-100 Deaths
China,19,25,102.0,1-50 Deaths
Greece,18,36.3,27.5,51-100 Deaths
Italy,19,40.914,15.366,>1001 Deaths
Mexico,19,16.7,-101.5,1-50 Deaths
Greece,18,37.8,27.0,51-100 Deaths
China,18,36.6,118.5,101-1000 Deaths
Ecuador,19,-0.4,-78.3,51-100 Deaths
Taiwan,19,23.772,120.982,>1001 Deaths
China,19,31.8,102.2,1-50 Deaths
Puerto Rico,19,18.5,-67.5,51-100 Deaths
China,18,33,104.6,1-50 Deaths
South Carolina,18,32.9,-80.0,51-100 Deaths
India,20,23.419,70.232,>1001 Deaths
China,18,43.6,93.0,51-100 Deaths
China,18,30.0,99.0,>1001 Deaths
Cyprus,19,35.046,32.279,1-50 Deaths
Greece,18,37.0,22.0,51-100 Deaths
Turkey,18,36.2,36.2,>1001 Deaths
China,19,27,100.0,1-50 Deaths
China,18,41.7,82.8,51-100 Deaths
Iran,19,33.825,59.809,>1001 Deaths
Azerbaijan,19,40.7,48.6,51-100 Deaths
Taiwan,18,23.4,120.4,101-1000 Deaths
Turkey,18,38.1,30.2,>1001 Deaths
China,19,41.45,79.367,1-50 Deaths
Greece,18,38.3,21.8,51-100 Deaths
Chile,19,-32.663,-71.551,1-50 Deaths
Italy,18,37.7,15.1,51-100 Deaths
China,18,26.1,99.9,101-1000 Deaths
Philippines,19,16.498,120.815,1-50 Deaths
Algeria,20,36.964,3.634,>1001 Deaths
Bosnia-Herzegovina,19,42.967,17.734,1-50 Deaths
Azerbaijan,18,40.7,48.5,51-100 Deaths
Colombia,18,7.9,-72.5,>1001 Deaths
Georgia,19,41.431,43.737,1-50 Deaths
Greece,18,37.25,21.75,51-100 Deaths
Iran,18,36.1,52.6,101-1000 Deaths
Ecuador,18,0.31,-78.18,>1001 Deaths
Venezuela,19,10.597,-62.928,1-50 Deaths
Greece,18,36.5,22.3,51-100 Deaths
Argentina,19,-33.053,-68.467,1-50 Deaths
Italy,18,43.4,10.6,51-100 Deaths
Armenia,19,40.987,44.185,>1001 Deaths
Bulgaria,19,43.274,25.912,1-50 Deaths
Papua New Guinea,19,-6.088,147.689,1-50 Deaths
Greece,18,37.0,22.0,51-100 Deaths
Chile,19,-19.022,-69.991,1-50 Deaths
Greece,18,37.7,20.9,51-100 Deaths
Iran,18,29.8,52.4,101-1000 Deaths
China,18,27.8,102.3,>1001 Deaths
Philippines,19,12.376,121.067,1-50 Deaths
Balkans Nw,18,43.6,16.7,51-100 Deaths
California,19,41.117,-124.253,1-50 Deaths
Italy,19,41.051,14.601,1-50 Deaths
Greece,18,39.5,20.5,51-100 Deaths
China,18,31.7,100.3,101-1000 Deaths
Venezuela-N Colombia,19,8.117,-72.527,1-50 Deaths
Greece,18,39.8,20.3,51-100 Deaths
China,19,31.907,99.931,1-50 Deaths
Greece,18,38.5,22.5,51-100 Deaths
Afghanistan,19,36.372,70.738,1-50 Deaths
Italy,18,46.2,12.4,51-100 Deaths
Belgium,19,50.696,5.346,1-50 Deaths
Greece,18,39.4,26.2,51-100 Deaths
China,19,35.206,115.213,1-50 Deaths
Algeria,18,36.4,2.7,51-100 Deaths
